"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMCTX103","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX103/TG002VMCTX103.vmdk"
"TG002VMCTX104","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX104/TG002VMCTX104.vmdk"
"TG002VMCTX105","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX105/TG002VMCTX105.vmdk"
"TG002VMCTX106","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX106/TG002VMCTX106.vmdk"
"TG002VMCTX107","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX107/TG002VMCTX107.vmdk"
"TG002VMCTX108","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTRIX] TG002VMCTX108/TG002VMCTX108.vmdk"
"TG002VMCTX109","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTX_VDA] TG002VMCTX109/TG002VMCTX109.vmdk"
"TG002VMCTX110","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTX_VDA] TG002VMCTX110/TG002VMCTX110.vmdk"
"TG002VMCTX111","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTX_VDA] TG002VMCTX111/TG002VMCTX111.vmdk"
"TG002VMCTX112","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS_OS_CTX_VDA] TG002VMCTX112/TG002VMCTX112.vmdk"
"TG002VMMFA001","Cluster_SAGE","Hard disk 1","300","Thin","Persistent","[DS_OS_MFA] TG002VMMFA001/TG002VMMFA001.vmdk"
"TG002VMMFA003","Cluster_SAGE","Hard disk 1","300","Thin","Persistent","[DS_OS_MFA] TG002VMMFA003/TG002VMMFA003.vmdk"
"TG002VMSDSK001","Cluster_ESS","Hard disk 1","500","Thin","Persistent","[DS-OS-VAS-027_BIS] TG002VMSDSK001/TG002VMSDSK001.vmdk"
"TG002VMMFA004","Cluster_SAGE","Hard disk 1","300","Thin","Persistent","[DS_OS_MFA] TG002VMMFA004/TG002VMMFA004.vmdk"
"TG002VMAPP127","Cluster_SAGE","Hard disk 1","300","Thick","Persistent","[DS_OS_MFL] TG002VMAPP127/TG002VMAPP127.vmdk"
"TG002VMPRTTEST","Cluster_PF_BSS","Hard disk 1","300","Thin","Persistent","[DS_OS_PORTING] TG002VMPRTTEST/TG002VMPRTTEST.vmdk"
"TG002VMRMM001","Cluster_BSS","Hard disk 1","250","Thin","Persistent","[DS_FLZN_OS_RMM] TG002VMRMM001/TG002VMRMM001.vmdk"
"TG002VMRMM001","Cluster_BSS","Hard disk 2","250","Thin","Persistent","[DS_FLZN_OS_RMM] TG002VMRMM001/TG002VMRMM001_1.vmdk"
"TG002VMAAD001","Cluster_PF_BSS","Hard disk 1","200","Thin","Persistent","[DS_OS&DATA_WSUS] TG002VMAAD001/TG002VMAAD001-000001.vmdk"
"TG002VMFIL173","Cluster_PF_BSS","Hard disk 1","146","Thin","Persistent","[DS_OS_XFILE-1] TG002VMFIL173/TG002VMFIL173_2.vmdk"
"TG002VMFIL173","Cluster_PF_BSS","Hard disk 2","500","Thin","Persistent","[DS_DATA_XFILE-1] TG002VMFIL173/TG002VMFIL173_1.vmdk"
"TG002VMPKI111","Cluster_SAGE","Hard disk 1","100","Thin","Persistent","[DS_OS_MX-01] TG002VMPKI111/TG002VMPKI111.vmdk"
"TG002VMAPP128","Cluster_PF_SAGE","Hard disk 1","146","Thick","Persistent","[DS_OS_MFL] TG002VMAPP218/TG002VMAPP218.vmdk"
"TG002VMQRAD026","Cluster_SAGE","Hard disk 1","1024","Thick","Persistent","[DS_DATA_SIEM] TG002VMQRAD026/TG002VMQRAD026.vmdk"
"TG002VMWAB001","Cluster_PF_SAGE","Hard disk 1","500","Thin","Persistent","[DS-OS-WAB-1] TG002VMWAB001/TG002VMWAB001.vmdk"
"TG002VMAPPHOST02","Cluster_PF_BSS","Hard disk 1","500","Thick","Persistent","[DS_DATA_SIEM] TG002VMAPPHOST02/TG002VMAPPHOST02.vmdk"
"TG002PMDBS028","Cluster_PF_SAGE","Hard disk 1","250","Thin","Persistent","[DS-OS-VAS-027] TG002PMDBS027/TG002PMDBS027.vmdk"
"TG002PMDBS028","Cluster_PF_SAGE","Hard disk 2","1024","Thin","Persistent","[DS-DATA-VAS-027] TG002PMDBS027/TG002PMDBS027.vmdk"
"TG002VMWAB002","Cluster_PF_SAGE","Hard disk 1","500","Thin","Persistent","[DS-OS-WAB-2] TG002VMWAB002/TG002VMWAB002.vmdk"
"TG002VMDBS069","Cluster_PF_SAGE","Hard disk 1","146","Thin","Persistent","[DS_OS_DBSQL-1] TG002VMDBS069/TG002VMDBS069_4.vmdk"
"TG002VMDBS069","Cluster_PF_SAGE","Hard disk 2","2048","Thin","Persistent","[DS_DATA_DBSQL-1] TG002VMDBS069/TG002VMDBS069_5.vmdk"
"TG002VMDBS069","Cluster_PF_SAGE","Hard disk 3","5120","Thin","Persistent","[DS_DATA_DBSQL-2] TG002VMDBS069/TG002VMDBS069_7.vmdk"
"TG002VMDBS069","Cluster_PF_SAGE","Hard disk 4","9216","Thin","Persistent","[DS_DATA_DBSQL-3] TG002VMDBS069/TG002VMDBS069_6.vmdk"
"TG002VMPRT001","Cluster_PF_BSS","Hard disk 1","500","Thin","Persistent","[DS_OS_PORTING] TG002VMPRT001/TG002VMPRT001.vmdk"
"TG002VMSMTP014","Cluster_PF_SAGE","Hard disk 1","200","Thin","Persistent","[DS_OS_SG_SMTP] TG002VMSMTP014/TG002VMSMTP014.vmdk"
"TG002VMICC122","Cluster_PF_SAGE","Hard disk 1","300","Thin","Persistent","[DS-OS-VAS-027] TG002VMICC122/TG002VMICC122.vmdk"
"TG002VMLIC100","Cluster_PF_SAGE","Hard disk 1","200","Thin","Persistent","[DS_OS_LIC_00] TG002VMLIC100/TG002VMLIC100.vmdk"
"TG002VMSPT001","Cluster_BSS","Hard disk 1","400","Thin","Persistent","[DS_OS_SHAREPOINT1] TG002VMSPT001/TG002VMSPT001.vmdk"
"TG002VMSPT001","Cluster_BSS","Hard disk 2","7680","Thin","Persistent","[DS_DATA_SHAREPOINT1] TG002VMSPT001_1/TG002VMSPT001.vmdk"
"TG002VMDBM175_RE","Cluster_PF_BSS","Hard disk 1","300","Thin","Persistent","[DS_TEST_RESTAURATION] TG002VMDBM175_RE/TG002VMDBM175_RE.vmdk"
"TG002VMDBM175_RE","Cluster_PF_BSS","Hard disk 2","200","Thin","Persistent","[DS_TEST_RESTAURATION] TG002VMDBM175_RE/TG002VMDBM175_RE_1.vmdk"
"TG002VMDBM175_RE","Cluster_PF_BSS","Hard disk 3","500","Thin","Persistent","[DS_TEST_RESTAURATION] TG002VMDBM175_RE/TG002VMDBM175_RE_2.vmdk"
"TG002VMAPP132","Cluster_ESS","Hard disk 1","300","Thin","Persistent","[DS_DATA_XXFILE01] TG002VMAPP/TG002VMAPP.vmdk"
"TG002VMAPP133","Cluster_ESS","Hard disk 1","205","Thin","Persistent","[DS_OS_APP133] TG002VMAPP133/TG002VMAPP133.vmdk"
"TG002VMAPP133","Cluster_ESS","Hard disk 2","2048","Thin","Persistent","[DS_DATA_APP133] TG002VMAPP133/TG002VMAPP133.vmdk"
"TG002VMAPP133","Cluster_ESS","Hard disk 3","200","Thin","Persistent","[DS_OS_APP133] TG002VMAPP133/TG002VMAPP133_1.vmdk"
"FTPTESTSRV","Cluster_ESS","Hard disk 1","205","Thin","Persistent","[DS_OS_CITRIX_01] FTPTESTSRV/FTPTESTSRV.vmdk"
"TG002VMAPP136","Cluster_ESS","Hard disk 1","205","Thin","Persistent","[DS-DATA-VAS-027] TG002VMAPP136/TG002VMAPP136.vmdk"
"TG002VMAPP136","Cluster_ESS","Hard disk 2","100","Thin","Persistent","[DS-DATA-VAS-027] TG002VMAPP136/TG002VMAPP136_1.vmdk"
"TG002VMMDW001","Cluster_PF_BSS","Hard disk 1","205","Thin","Persistent","[DS_OS_AD-00] TG002VMMDW001/TG002VMMDW001.vmdk"
"TG002VMMON-FLK001","Cluster_SAGE","Hard disk 1","300","Thick","Persistent","[DS_OS_SUP_CEPNM] CEPNM-VA-FED-3.8.0.0.310-flex/CEPNM-VA-FED-3.8.0.0.310-flex.vmdk"
"TG002VMMON-FLK001","Cluster_SAGE","Hard disk 2","3700","Thick","Persistent","[DS_OS_SUP_CEPNM] CEPNM-VA-FED-3.8.0.0.310-flex/CEPNM-VA-FED-3.8.0.0.310-flex_1.vmdk"
"TG002VMGFA001","Cluster_ESS","Hard disk 1","205","Thin","Persistent","[DS_OS_GFA] TG002VMGFA001/TG002VMGFA001.vmdk"
"TG002VMGFA001","Cluster_ESS","Hard disk 2","500","Thin","Persistent","[DS_DATA_GFA] TG002VMGFA001/TG002VMGFA001.vmdk"
"TG002VMGFA002","Cluster_ESS","Hard disk 1","205","Thin","Persistent","[DS_OS_GFA] TG002VMGFA002/TG002VMGFA002.vmdk"
"TG002VMGFA002","Cluster_ESS","Hard disk 2","500","Thin","Persistent","[DS_DATA_GFA] TG002VMGFA002/TG002VMGFA002.vmdk"
"TG002VMAPP047","Cluster_PF_SAGE","Hard disk 1","500","Thin","Persistent","[DS_OS_RELEVES] TG002VMAPP047/TG002VMAPP047.vmdk"
"TG002VMAPP047","Cluster_PF_SAGE","Hard disk 2","15360","Thin","Persistent","[DS_DATA_RELEVES_n] TG002VMAPP047/TG002VMAPP047.vmdk"
"TG002VMARIAOPS001","Cluster_ESS","Hard disk 1","20","Thick","Persistent","[DS_OS_ARIA] TG002VMARIAOPS/TG002VMARIAOPS.vmdk"
