"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMAPP125","Cluster_BSS","cpu.ready.summation","millisecond","358","68822,6173","78814","123800","162023","37891","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","cpu.usage.average","%","358","1,652","1,76","6,66","9,44","1,35","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","cpu.usagemhz.average","MHz","358","495,8966","529","1996","2827","408","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","disk.usage.average","KBps","358","204,8464","265","1405","9618","119","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","mem.consumed.average","KB","358","67096887,7207","67108864","67108864","67108864","66736037","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","mem.usage.average","%","358","4,9146","5,54","19,29","35,78","3,38","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPP125","Cluster_BSS","net.usage.average","KBps","358","2,2263","7","37","57","1","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","cpu.ready.summation","millisecond","358","106915,7709","154100","176324","280941","72444","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","cpu.usage.average","%","358","14,5275","27,61","34,83","41,81","3,38","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","cpu.usagemhz.average","MHz","358","8699,1397","16531","20853","25032","2025","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","disk.usage.average","KBps","358","67148,0363","100159","150963","471273","13081","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","mem.consumed.average","KB","358","201314095,014","201326592","201326592","201326592","200208111","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","mem.usage.average","%","358","33,1904","39,51","42,77","48,22","15,97","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMELK001","Cluster_BSS","net.usage.average","KBps","358","40685,7486","58562","70903","85586","10584","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","cpu.ready.summation","millisecond","358","50859,6983","55472","57964","59454","43319","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","cpu.usage.average","%","358","3,5969","3,92","4","4,18","3,18","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","cpu.usagemhz.average","MHz","358","948,5894","1033","1054","1101","839","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","disk.usage.average","KBps","358","483,7961","1999","8426","9364","96","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","mem.consumed.average","KB","358","29739102,9777","30307783","30361805","30372489","29108480","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","mem.usage.average","%","358","8,2837","8,98","9,54","9,81","7,17","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMAPPHOST006","Cluster_ESS","net.usage.average","KBps","358","500,6341","2091","8823","9804","94","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","cpu.ready.summation","millisecond","358","253480,7318","290571","322797","376954","215719","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","cpu.usage.average","%","358","13,192","14,94","27,85","30","11,3","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMQRAD005","Cluster_ESS","cpu.usagemhz.average","MHz","358","9269,0615","10501","19566","21073","7943","09/08/2026 22:00:00","08/09/2026 16:00:00"
