"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_DATA_BI-2","VMFS","8191,75","5365,24","2826,51","34,50","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_DBSQL-2","VMFS","10239,75","3271,67","6968,08","68,05","True","8","2","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_CACHE_SSD_23","VMFS","139,5","0,55","138,95","99,61","True","1","0","10.80.18.23"
"DS_OS_PKI_01","VMFS","299,75","210,00","89,75","29,94","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_VAS_VPROXY","VMFS","349,75","183,67","166,08","47,49","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_i","VMFS","20479,75","4960,83","15518,92","75,78","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_DBTMP_01","VMFS","499,75","435,05","64,70","12,95","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CDR-2","VMFS","35839,25","21127,10","14712,15","41,05","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_STB_FZ_OS_01","VMFS","1023,75","1008,82","14,93","1,46","True","4","0","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"datastore1 (9)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.18.19"
"DS_DATA_XFILE-1","VMFS","14287,75","3069,74","11218,01","78,51","True","8","2","10.80.18.118;10.80.18.117;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_ICT-1","VMFS","6143,5","2661,91","3481,59","56,67","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"DS_DATA_ICT-3","VMFS","4095,75","4078,52","17,23","0,42","True","6","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115"
"VeeamBackup_TG002VMREP001.moov-africa.tg","NFS","25599,98","21333,12","4266,86","16,67","False","1","0","10.80.18.19"
"DS_CACHE_SSD_5","VMFS","111,5","0,55","110,95","99,51","True","1","0","10.80.18.5"
"DS_ICT_DATA","VMFS","10239,75","2243,77","7995,98","78,09","True","12","2","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_CRM-1","VMFS","1023,75","619,31","404,44","39,51","True","3","0","10.80.18.18;10.80.18.19;10.80.18.115"
"DS_DATA_CC-1","VMFS","1023,75","377,42","646,33","63,13","True","2","0","10.80.18.18;10.80.18.19"
"DS_OS_VA-1","VMFS","2299,75","874,65","1425,10","61,97","True","8","6","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MX_1","VMFS","15359,75","13021,90","2337,85","15,22","True","6","1","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_ADC_012","VMFS","499,75","113,64","386,11","77,26","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"datastore1 (7)","VMFS","151,25","149,84","1,41","0,93","True","1","0","10.80.18.10"
"DS_DATA_XFILE_H","VMFS","6143,75","1061,32","5082,43","82,73","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SG_SMTP","VMFS","249,75","161,36","88,39","35,39","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
