"VM","Cluster","Snapshot","Created","SizeGB","Description"
"TG002VMICC127_replica","Cluster_DR","Restore Point 22-03-2026 16:25:03","22/03/2026 16:18:54","547","<RPData PointTime=""5250783953460878284"" WorkingSnapshotTime=""5250783949288767283"" PointSize=""503316480"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMICC127_replica","Cluster_DR","Veeam Replica Working Snapshot","23/03/2026 04:00:17","547","<RPData PointTime=""5250784374914485548"" WorkingSnapshotTime=""5250784374914485548"" PointSize=""0"" PointType=""EWorkingSnapshot"" DescriptorType=""Default"" />"
"TG002VMICC127_replica","Cluster_DR","Veeam Replica Working Snapshot","27/03/2026 18:45:41","547","<RPData PointTime=""5250788357825149670"" WorkingSnapshotTime=""5250788357825149670"" PointSize=""0"" PointType=""EWorkingSnapshot"" DescriptorType=""Default"" />"
"TG002VMCTX015_replica","Cluster_DR","Restore Point 30-07-2026 17:03:38","30/07/2026 17:27:28","178,58","<RPData PointTime=""5250896296608798624"" WorkingSnapshotTime=""5250896297025267895"" PointSize=""191746801664"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBM175_replica","Cluster_DR","Restore Point 22-03-2026 08:34:08","22/03/2026 08:52:04","610,43","<RPData PointTime=""5250783670915393104"" WorkingSnapshotTime=""5250783671254231123"" PointSize=""655173353472"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBM175_replica","Cluster_DR","Restore Point 22-03-2026 14:10:31","22/03/2026 14:09:01","610,43","<RPData PointTime=""5250783872743479304"" WorkingSnapshotTime=""5250783873084287995"" PointSize=""1294991360"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBM175_replica","Cluster_DR","Restore Point 22-03-2026 16:30:44","22/03/2026 16:28:33","610,43","<RPData PointTime=""5250783956870280224"" WorkingSnapshotTime=""5250783957218411851"" PointSize=""1217396736"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMDBM175_replica","Cluster_DR","Veeam Replica Working Snapshot","27/03/2026 18:43:43","610,43","<RPData PointTime=""5250788356640610740"" WorkingSnapshotTime=""5250788356640610740"" PointSize=""0"" PointType=""EWorkingSnapshot"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 21-03-2026 02:07:26","21/03/2026 02:07:00","24","<RPData PointTime=""5250782574889154494"" WorkingSnapshotTime=""5250782575238196053"" PointSize=""25773998080"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 21-03-2026 10:07:30","21/03/2026 10:07:03","0,14","<RPData PointTime=""5250782862929348074"" WorkingSnapshotTime=""5250782863262451951"" PointSize=""147849216"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 21-03-2026 17:49:48","21/03/2026 17:49:22","0,09","<RPData PointTime=""5250783140316281354"" WorkingSnapshotTime=""5250783140651554518"" PointSize=""94371840"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 22-03-2026 01:49:30","22/03/2026 01:49:07","0,12","<RPData PointTime=""5250783428133806304"" WorkingSnapshotTime=""5250783428460435558"" PointSize=""128974848"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 22-03-2026 12:21:24","22/03/2026 12:20:39","0,17","<RPData PointTime=""5250783807276545844"" WorkingSnapshotTime=""5250783807599675758"" PointSize=""182452224"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 22-03-2026 15:08:45","22/03/2026 15:08:54","0,05","<RPData PointTime=""5250783907686735694"" WorkingSnapshotTime=""5250783908008434542"" PointSize=""58720256"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRTTEST_replica","Cluster_DR","Restore Point 22-03-2026 17:21:00","22/03/2026 17:20:10","0,07","<RPData PointTime=""5250783987037100544"" WorkingSnapshotTime=""5250783987358449066"" PointSize=""76546048"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
"TG002VMPRT001_replica","Cluster_DR","Restore Point 21-03-2026 02:07:23","21/03/2026 02:06:41","34,96","<RPData PointTime=""5250782574866279474"" WorkingSnapshotTime=""5250782575238196053"" PointSize=""37532729344"" PointType=""ECompleteRestorePoint"" DescriptorType=""Default"" />"
