"VM","PowerState","Host","Cluster","NumCPU","MemoryGB","ProvisionedSpaceGB","UsedSpaceGB","GuestOS","GuestId","HardwareVersion","ToolsStatus","ToolsVersion","IPAddress","DNSName","Datastores","Networks","Folder","Notes"
"TG002VMDBS126_RE_replica","PoweredOff","10.80.24.50","Cluster_DR","8","16","2074,71","333,84","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX012_replica","PoweredOff","10.80.24.50","Cluster_DR","32","128","1213,94","485,02",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX005_replica","PoweredOff","10.80.24.40","Cluster_DR","4","12","288,91","76,04",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMSEI001_replica","PoweredOff","10.80.24.50","Cluster_DR","4","32","505,9","73,03","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMXRT101_replica","PoweredOff","10.80.24.50","Cluster_DR","4","32","491,28","58,41","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX003_replica","PoweredOff","10.80.24.40","Cluster_DR","8","32","381,5","48,62",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX002_replica","PoweredOff","10.80.24.40","Cluster_DR","4","12","272,75","59,88",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMICC121_RE_replica","PoweredOff","10.80.24.50","Cluster_DR","10","40","1491,84","550,96","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-13","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMDBS187_replica","PoweredOff","10.80.24.40","Cluster_DR","8","48","3679,42","571,07","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX004_replica","PoweredOff","10.80.24.40","Cluster_DR","4","12","306,04","93,17",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP059_RE_replica","PoweredOff","10.80.24.40","Cluster_DR","8","16","761,63","244,75","CentOS 4/5 (64-bit)","centos64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002PMDBS028_replica","PoweredOff","10.80.24.50","Cluster_DR","8","24","2171,33","872,45","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX009_replica","PoweredOff","10.80.24.50","Cluster_DR","4","12","277,13","64,26",,"windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP029_replica","PoweredOff","10.80.24.50","Cluster_DR","8","32","608,27","375,4","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMCTX011_replica","PoweredOff","10.80.24.50","Cluster_DR","4","8","436,75","185,91",,"windows8Server64Guest","vmx-13","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMWEB130_replica","PoweredOff","10.80.24.40","Cluster_DR","6","32","1237,39","205,04","Microsoft Windows Server 2022 (64-bit)","windows2019srvNext_64Guest","vmx-20","guestToolsNotRunning",,"",,"DR_DS_REP_001","Not connected","vm",""
"TG002VMAPP123_replica","PoweredOff","10.80.24.50","Cluster_DR","8","16","1921,66","558,78","Microsoft Windows Server 2016 (64-bit)","windows9Server64Guest","vmx-14","guestToolsNotRunning","0","",,"DR_DS_REP_001","Not connected","vm",""
