"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"vproxy-DR","Cluster_DR","Hard disk 2","97,66","Thick","Persistent","[DS_OS_MNGMT] vproxy-DR/vproxy-DR_1.vmdk"
"TG001VMREP001","Cluster_DR","Hard disk 1","300","Thin","Persistent","[DS_OS_MNGMT] TG001VMREP001/TG001VMREP001.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 1","12","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 2","1,6","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_1.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 3","25","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_2.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 4","25","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_3.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 5","10","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_4.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 6","10","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_5.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 7","15","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_6.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 8","10","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_7.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 9","1","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_8.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 10","10","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_9.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 11","10","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_10.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 12","100","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_11.vmdk"
"TG001VMINF105","Cluster_DR_Ext.","Hard disk 13","50","Thin","Persistent","[DR_DS_OS_MGMT] TG001VMINF105/TG001VMINF105_12.vmdk"
"TG001VMSRM167","Cluster_DR_Ext.","Hard disk 1","40","Thick","Persistent","[DS_DR_SRM_OS] TG001VMSRM167/TG001VMSRM167_3.vmdk"
"TG001VMSRM167","Cluster_DR_Ext.","Hard disk 2","300","Thin","Persistent","[DS_DR_SRM_OS] TG001VMSRM167/TG001VMSRM167.vmdk"
"TG001VMSRM173","Cluster_DR_Ext.","Hard disk 1","150","Thin","Persistent","[DS_DR_SRM_OS] TG001VMSRM173/TG001VMSRM173.vmdk"
"TG001VMSRM171","Cluster_DR_Ext.","Hard disk 1","150","Thin","Persistent","[DS_DR_SRM_OS] TG001VMSRM171/TG001VMSRM171.vmdk"
"TG001VMAOI210","Cluster_DR_Ext.","Hard disk 1","150","Thick","Persistent","[DR_DS_OS_MGMT] TG001VMAOI210/TG001VMAOI210.vmdk"
"TG001VMSRM172","Cluster_DR_Ext.","Hard disk 1","150","Thin","Persistent","[DS_DR_SRM_OS] TG001VMSRM172/TG001VMSRM172.vmdk"
"TG002VMREP001","Cluster_DR","Hard disk 1","500","Thin","Persistent","[DR_DS_OS_REP] TG002VMREP001_REST/TG002VMREP001_REST.vmdk"
"TG001VMTLCRECUP","Cluster_DR","Hard disk 1","500","Thick","Persistent","[DR_DS_FLOOZ_DATA_1] TG001VMTLCRECUP/TG001VMTLCRECUP.vmdk"
"vCLS-9381aac2-3479-4283-b59f-6d47dbc6b4b3","Cluster_DR_Ext.","Hard disk 1","2","Thin","Persistent","[DS_DR_SRM_OS] vCLS-9381aac2-3479-4283-b59f-6d47dbc6b4b3/vCLS-9381aac2-3479-4283-b59f-6d47dbc6b4b3.vmdk"
"vCLS-3bde27b1-630c-422e-96ab-7bd78fbf8388","Cluster_DR_Ext.","Hard disk 1","2","Thin","Persistent","[DS_DR_SRM_OS] vCLS-3bde27b1-630c-422e-96ab-7bd78fbf8388/vCLS-3bde27b1-630c-422e-96ab-7bd78fbf8388.vmdk"
"TG001VMBK002","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_OS_REP] TG001VMBK002/TG001VMBK002.vmdk"
"TG001VMBK002","Cluster_DR","Hard disk 2","6144","Thin","Persistent","[DR_DS_DATA_BKI] TG001VMBK002/TG001VMBK002.vmdk"
"TG001VMBKI001","Cluster_DR","Hard disk 1","200","Thin","Persistent","[DR_DS_OS_REP] TG001VMBKI001/TG001VMBKI001-000001.vmdk"
"TG001VMBKI001","Cluster_DR","Hard disk 2","6144","Thin","Persistent","[DR_DS_DATA_BKI] TG001VMBKI001/TG001VMBKI001-000002.vmdk"
