"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG001VMAPP001","Cluster_DR","cpu.usage.average","%","358","0,0623","0,07","0,07","0,19","0,06","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","cpu.usagemhz.average","MHz","358","17,4665","18","18","49","15","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","disk.usage.average","KBps","358","0,0447","0","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","mem.consumed.average","KB","358","7747532,852","7999488","7999909","8005632","7566649","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","mem.usage.average","%","358","0,9904","0,99","1","1,02","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMAPP001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","cpu.ready.summation","millisecond","358","27998,3799","30327","30722","30977","22467","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","cpu.usage.average","%","358","0,054","0,06","0,06","0,12","0,05","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","cpu.usagemhz.average","MHz","358","15,5894","17","17","33","14","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","disk.usage.average","KBps","358","0,0531","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","mem.consumed.average","KB","358","7818679,5391","8042496","8058880","8060331","7653376","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","mem.usage.average","%","358","0,9905","0,99","1,01","1,01","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMUSSD001","Cluster_DR","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","cpu.ready.summation","millisecond","358","18741,5615","20064","20493","20703","17320","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","cpu.usage.average","%","358","0,1003","0,1","0,11","0,11","0,1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","cpu.usagemhz.average","MHz","358","72,9749","75","76","82","70","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","disk.usage.average","KBps","358","0,1676","2","2","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","mem.consumed.average","KB","358","4960063,5698","4960256","4960256","4960256","4946478","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","mem.usage.average","%","358","1,0068","1,05","1,07","1,09","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMDBO001","Cluster_DR","net.usage.average","KBps","358","0,0056","0","0","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","cpu.ready.summation","millisecond","358","18231,2263","19343","19759","20349","16048","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","cpu.usage.average","%","358","0,0988","0,1","0,11","0,19","0,09","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","cpu.usagemhz.average","MHz","358","17,4302","18","18","32","15","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","disk.usage.average","KBps","358","0,0838","1","1","1","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","mem.consumed.average","KB","358","3814239,014","3827712","3827712","3827712","3798699","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","mem.usage.average","%","358","0,99","0,99","0,99","1","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG001VMEWEB001","Cluster_DR","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
