"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMBBL002","Cluster_DMZ","mem.usage.average","%","358","1,1839","1,61","1,84","1,95","1,01","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL002","Cluster_DMZ","net.usage.average","KBps","358","1,8492","7","21","140","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","cpu.ready.summation","millisecond","358","5134,986","5593","5849","5931","4435","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","cpu.usage.average","%","358","0,3061","0,84","0,87","1,09","0,23","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","cpu.usagemhz.average","MHz","358","25,9804","71","74","93","20","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","disk.usage.average","KBps","358","2,7011","13","27","138","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","mem.consumed.average","KB","358","11476724,8492","11476992","11476992","11476992","11445112","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","mem.usage.average","%","358","1,1395","1,65","1,79","1,9","0,99","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBBL001","Cluster_DMZ","net.usage.average","KBps","358","1,824","7","21","140","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","cpu.ready.summation","millisecond","358","16248000,6173","28999741","32518651","35225820","4181613","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","cpu.usage.average","%","358","9,352","12,3","12,66","13,3","3,8","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","cpu.usagemhz.average","MHz","358","6381,6117","8392","8640","9074","2595","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","disk.usage.average","KBps","358","2383,9497","6346","11921","27011","325","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","mem.consumed.average","KB","358","100237026,6788","100239360","100239360","100239360","99960917","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","mem.usage.average","%","358","3,835","5,25","6,7","11,46","2,47","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI001","","net.usage.average","KBps","358","1101,8352","1793","1863","2613","401","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","cpu.ready.summation","millisecond","358","1718523,9162","2029181","2087405","2182832","1149508","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","cpu.usage.average","%","358","2,7289","2,86","2,95","2,98","2,55","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","cpu.usagemhz.average","MHz","358","1165,5391","1222","1257","1271","1090","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","disk.usage.average","KBps","358","38,1927","99","104","116","26","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","mem.consumed.average","KB","358","24993792","24993792","24993792","24993792","24993792","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","mem.usage.average","%","358","3,4209","3,83","4,12","4,52","2,82","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI003","","net.usage.average","KBps","358","5,9413","40","44","65","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","cpu.ready.summation","millisecond","358","10495330,2011","18576830","22391743","25519625","4260002","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","cpu.usage.average","%","358","7,8478","11,17","11,74","12,44","3,18","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","cpu.usagemhz.average","MHz","358","5355,6788","7623","8009","8488","2172","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","disk.usage.average","KBps","358","1121,5335","2978","3349","6150","247","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","mem.consumed.average","KB","358","100392181,0363","100392960","100392960","100392960","100114091","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","mem.usage.average","%","358","5,1078","8,64","9,81","10,06","1,86","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","mem.vmmemctl.average","KB","358","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 16:00:00"
"VM","TG002VMBKI002","","net.usage.average","KBps","358","1283,338","2099","2505","3461","423","09/08/2026 22:00:00","08/09/2026 16:00:00"
