"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMUSD217","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","33430565,3547","33433423","33433424","33433424","33247675","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD217","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,0079","1,05","1,07","1,08","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD217","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMUSD217","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","187835,243","202885","207779","244881","168582","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","10,8775","13,98","14,03","15,58","9,36","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","9381,6229","12057","12103","13435","8076","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","19658,4972","34776","35325","38173","11782","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","66644919,6927","66652160","66652160","66652160","66281870","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","8,3374","11,25","11,65","11,81","6,18","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMDBO219","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","12152,1117","12588","12740","12924","11449","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,0447","0,05","0,05","0,05","0,04","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","16,6061","17","18","18","16","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","0,6816","1","2","2","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","49285794,8687","56055589","56642893","56756432","41803944","10/08/2026 00:00:00","08/09/2026 18:00:00"
