"VM","Cluster","Disk","CapacityGB","StorageFormat","Persistence","Filename"
"TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_MTR_2] TG002VMMTR228/TG002VMMTR228_1.vmdk"
"TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","1024","Thick","Persistent","[DS_FLZN_DATA_MTR] TG002VMMTR229/TG002VMMTR229.vmdk"
"TG002VMMTR228","CLUSTER_PF_FLOOZ_PROD","Hard disk 3","1024","Thick","Persistent","[DS_FLZN_DATA_MTR] TG002VMMTR229/TG002VMMTR229_1.vmdk"
"TG002VMRPT229","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","921,6","Thin","Persistent","[DS_FLZN_OS_RPT_1] TG002VMRPT229/TG002VMRPT229.vmdk"
"TG002VMRPT230","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","921,6","Thin","Persistent","[DS_FLZN_OS_RPT_2] TG002VMRPT230/TG002VMRPT230.vmdk"
"TG002VMTDB231","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thick","Persistent","[DS_FLZN_OS_TESTSRVS] TG002VMTDB231/TG002VMTDB231.vmdk"
"TG002VMTIWB232","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_FLZN_OS_TESTSRVS] TG002VMTIWB232/TG002VMTIWB232.vmdk"
"TG002VMTAPP233","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_FLZN_OS_TESTSRVS] TG002VMTAPP233/TG002VMTAPP233.vmdk"
"TG002VMTAPI234","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","500","Thin","Persistent","[DS_FLZN_OS_TESTSRVS] TG002VMTAPI234/TG002VMTAPI234.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 1","1024","Thick","Persistent","[DS_FLZN_OS_REPDB_1] TG002VMDBO224/TG002VMDBO224.vmdk"
"TG002VMDBO224","CLUSTER_PF_FLOOZ_PROD","Hard disk 2","1024","Thick","Persistent","[DS_FLZN_DATA_REPDB_1] TG002VMDBO224/TG002VMDBO224.vmdk"
