"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS_FLZN_OS_SMSC","VMFS","2047,75","1546,31","501,44","24,49","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_API_3","VMFS","1023,75","522,33","501,42","48,98","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_IWB_1","VMFS","1023,75","458,03","565,72","55,26","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_OS_PORTING (1)","VMFS","1023,75","518,13","505,62","49,39","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_USD_1","VMFS","1023,75","490,00","533,75","52,14","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_IVR","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_API_2","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_COD_CREDABLE","VMFS","5119,75","4675,34","444,41","8,68","True","2","14","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_API","VMFS","4095,75","4094,28","1,47","0,04","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_TESTSRVS","VMFS","2047,75","1479,87","567,88","27,73","True","2","4","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_BD","VMFS","4095,75","3005,84","1089,91","26,61","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_USSD","VMFS","4095,75","3094,28","1001,47","24,45","True","2","2","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_DATA_APP_1","VMFS","2047,75","2046,31","1,44","0,07","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_IVR_1","VMFS","1023,75","1022,33","1,42","0,14","True","2","0","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
"DS_FLZN_OS_EWB","VMFS","2047,75","1546,31","501,44","24,49","True","2","1","tg002pminf045.moov-africa.tg;tg002pminf046.moov-africa.tg"
